"Playlist","track.name","basis","value"
"Songs I like","I Don't Feel Like Dancin' - Radio Edit","c01",52.8617516218721
"Songs I like","Grace Kelly","c01",48.3829039548023
"Songs I like","Haven't Met You Yet","c01",51.6724722222222
"Songs I like","I Gotta Feeling","c01",50.2234985808893
"Songs I like","Rock DJ","c01",51.7185809716599
"Songs I like","She's So Lovely","c01",53.4908331273177
"Songs I like","Lady Marmalade (Voulez-vous coucher avec moi?) - Radio Edit","c01",45.8566118488253
"Songs I like","Dance with Me Tonight","c01",49.5752668393782
"Songs I like","Dear Future Husband","c01",50.557393982808
"Songs I like","Party In The U.S.A.","c01",52.1674547837484
"Songs I like","Umbrella","c01",50.9453502392345
"Songs I like","December, 1963 (Oh What a Night!)","c01",41.3974786545925
"Songs I like","I Didn't Plan It","c01",51.1205668549906
"Songs I like","Keep It Simple (feat. Wilder Woods)","c01",50.3170193637621
"Songs I like","YES","c01",48.853964664311
"Songs I like","What A Man Gotta Do","c01",46.5413259259259
"Songs I like","Don't Start Now","c01",49.7874280104712
"Songs I like","If I Can't Have You","c01",51.3646582109479
"Songs I like","Birthday","c01",52.2822370572207
"Songs I like","Violent Thing","c01",49.4582185592186
"Songs I like","Break My Heart","c01",50.687567251462
"Songs I like","Think About Things","c01",41.2068808049536
"Songs I like","Break My Heart","c01",50.6876210526316
"Songs I like","Supalonely","c01",48.4455419501134
"Songs I like","Born This Way","c01",50.7784184549356
"Songs I like","Wannabe","c01",50.1660092715232
"Songs I like","Fascination","c01",51.944925
"Songs I like","Walks Like Rihanna","c01",53.0265058309038
"Songs I like","Play Date","c01",50.9162550544323
"Songs I like","Fairytale","c01",52.1491195814649
"Songs I like","Sugar","c01",49.1649776995305
"Songs I like","Hold My Hand","c01",51.0011444201313
"Songs I like","I Gotta Feeling","c01",50.2234985808893
"Songs I like","Firework","c01",51.4724341463415
"Songs I like","Rain On Me (with Ariana Grande)","c01",52.6034092769441
"Songs I like","One Way or Another (Teenage Kicks)","c01",53.249962962963
"Songs I like","I Feel Love","c01",46.7626354489164
"Songs I like","Watermelon Sugar","c01",52.0349593114241
"Songs I like","Kleur","c01",46.888053748232
"Songs I like","If I Can't Have You - Gryffin Remix","c01",51.743766633565
"Songs I like","Electricity (with Dua Lipa)","c01",49.3468840155945
"Songs I like","Shut Up and Dance","c01",53.6896628407461
"Songs I like","Shallow","c01",46.549060952381
"Songs I like","Brand New Day","c01",52.7997759856631
"Songs I like","A Little More","c01",51.7201829787234
"Songs I like","When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version","c01",49.9151232704403
"Songs I like","Lovely - The Voice Australia 2019 Performance / Live","c01",44.2846564417178
"Songs I like","The Way You Make Me Feel - 2012 Remaster","c01",49.704778886118
"Songs I like","Last Friday Night (T.G.I.F.)","c01",52.9891398527865
"Songs I like","Wrapped Up (feat. Travie McCoy)","c01",50.6723465982028
"Songs I like","Geronimo","c01",48.1754095238095
"Songs I like","No Excuses","c01",51.727365
"Songs I like","What I Like About You","c01",48.5661072463768
"Songs I like","Walking On Sunshine","c01",44.693704885344
"Songs I like","We Built This City","c01",51.1558351012536
"Songs I like","Footloose","c01",48.812421656051
"Songs I like","Africa","c01",36.2532828451883
"Songs I like","Mr. Blue Sky","c01",45.6206795698925
"Songs I like","Bang Bang","c01",52.7904573934837
"Songs I like","Don't You (Forget About Me) - Remastered 2001","c01",47.8921366906475
"Songs I like","Levitating","c01",53.8366591179976
"Songs I like","Cut To The Feeling","c01",52.7409391534392
"Songs I like","Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album","c01",50.9514920127796
"Songs I like","Hallucinate","c01",50.2015852534562
"Songs I like","Five More Minutes","c01",43.9619011857707
"Songs I like","Finally Free - From ""Smallfoot""","c01",52.4367856049005
"Songs I like","Happiness","c01",50.5517079276773
"Songs I like","Black Magic","c01",51.6888059701493
"Songs I like","Without You (feat. Usher)","c01",50.8403319727891
"Songs I like","Hello","c01",52.7477801242236
"Songs I like","Electric Love","c01",48.3606793981482
"Songs I like","Dynamite","c01",51.8603825065274
"Songs I like","Lullaby","c01",51.966906729634
"Songs I like","The Middle","c01",51.3624361370717
"Songs I like","Someone To You","c01",52.9547725118483
"Songs I like","Ewigi Liäbi","c01",52.4643183673469
"Songs I like","Disaster","c01",51.5875014204545
"Songs I like","Minefields","c01",49.0206050955414
"Songs I like","Lotus Inn","c01",50.262273255814
"Songs I like","One Too Many","c01",48.7606581920904
"Songs I like","The One That Got Away","c01",51.9033993174061
"Songs I like","Slow Dance (feat. Ava Max) - Sam Feldt Remix","c01",49.2867896774194
"Songs I like","At Least I Had Fun","c01",50.1565110062893
"Songs I like","Unbelievable","c01",46.727965034965
"Songs I like","Don’t Cry Me A River","c01",48.0630013605442
"Songs I like","Copacabana (At the Copa)","c01",46.6754260780287
"Songs I like","Hot N Cold","c01",51.4650681818182
"Songs I like","Call Me Maybe","c01",47.4466315086782
"Songs I like","2002","c01",52.135917222964
"Songs I like","Higher (feat. iann dior)","c01",50.0404740740741
"Songs I like","Heartbeat Song","c01",54.142256097561
"Songs I like","Domino","c01",51.0868215488215
"Songs I like","We're Good","c01",48.8146404682274
"Songs I like","Runaway Baby","c01",53.3034935897436
"Songs I like","Unconditionally","c01",50.5632076215506
"Songs I like","Hypnotized","c01",50.5900361726954
"Songs I like","Little Bit of Love","c01",51.4861183063512
"Songs I like","Love Story","c01",51.0854459644323
"Songs I like","Scars To Your Beautiful","c01",49.4689423529412
"Songs I like","Counting Stars","c01",50.8481148851149
"Songs I like","Another Day Of Sun","c01",49.3132511792453
"Songs I like","Maps","c01",50.6186532374101
"Songs I like","Hey, Soul Sister","c01",52.1441552567237
"Songs I like","Best Day Of My Life","c01",54.1691760660248
"Songs I like","Hall of Fame (feat. will.i.am)","c01",51.7501011396011
"Songs I like","Me And My Broken Heart","c01",51.8723375886525
"Songs I like","Blijven Slapen","c01",46.2253632148377
"Songs I like","Forever Yours","c01",49.3649525267994
"Songs I like","Go Getter","c01",50.4489405940594
"Songs I like","Overdrive","c01",48.591824742268
"Songs I like","Floating Through Space","c01",51.6677777777778
"Songs I like","This Is Heaven","c01",50.7854994720169
"Songs I like","Marvin Gaye (feat. Meghan Trainor)","c01",49.5894391988555
"Songs I like","Sixteen","c01",50.4867159685864
"Songs I like","Uptown Funk (feat. Bruno Mars)","c01",46.9328068085106
"Songs I like","September Song","c01",50.1127420986094
"Songs I like","Wonder","c01",50.2003207207207
"Songs I like","In De Schuur","c01",47.0239683908046
"Songs I like","Cover Me In Sunshine","c01",47.6221688034188
"Songs I like","Can't Take My Eyes Off You","c01",44.6991206434316
"Songs I like","Let Me Go","c01",51.7810155367232
"Songs I like","All Falls Down (feat. Juliander)","c01",50.9610203193033
"Songs I like","High Hopes","c01",54.7076265912306
"Songs I like","Uma Thurman","c01",53.8558193069307
"Songs I like","Rather Be (feat. Jess Glynne)","c01",46.5253369447454
"Songs I like","Mambo No. 5 (a Little Bit of...)","c01",50.1030566448802
"Songs I like","Once In a While","c01",48.7632749140893
"Songs I like","Always","c01",45.9610963172805
"Songs I like","Brighter Than The Sun","c01",50.1861847014925
"Songs I like","Good To Be Alive (Hallelujah)","c01",53.1420627802691
"Songs I like","Beautiful Mistakes (feat. Megan Thee Stallion)","c01",50.8763858363858
"Songs I like","What Other People Say","c01",47.600896373057
"Songs I like","Euphoria","c01",48.0372932432432
"Songs I like","All I Know So Far","c01",50.2253348519362
"Songs I like","Life is a Highway","c01",52.8373138548539
"Songs I like","Electric - Pokemon 25 Version","c01",51.2964774774775
"Songs I like","Embers","c01",52.2485585585586
"Songs I like","10 Years","c01",46.2503126801153
"Songs I like","Voilà","c01",43.9406360655738
"Songs I like","Leave Before You Love Me (with Jonas Brothers)","c01",50.5059262435677
"Songs I like","Honey, I'm Good.","c01",49.5257070217918
"Songs I like","The Sailor's Warning","c01",46.5932931034483
"Songs I like","Drive","c01",49.4171833740831
"Songs I like","Good Vibes","c01",52.8846556390977
"Songs I like","I Want Love","c01",52.2974251851852
"Songs I like","Wings","c01",52.8277243510507
"Songs I like","Make It","c01",48.0925285913529
"Songs I like","Black Heart","c01",51.8772686980609
"Songs I like","Hero","c01",50.7558116385911
"Songs I like","Starstruck","c01",54.7681747311828
"Songs I like","You Can't Stop The Beat (""Hairspray"")","c01",52.6011710631495
"Songs I like","Love Again","c01",49.8141086021505
"Songs I like","Bad Habits","c01",50.7833879310345
"Songs I like","Everybody Talks","c01",53.0425532233883
"Songs I like","Hear Me Say","c01",50.8374944237918
"Songs I like","Starships","c01",53.2886535859269
"Songs I like","good 4 u","c01",48.8274879518072
"Songs I like","The Sweet Escape","c01",51.197247311828
"Songs I like","Treat People With Kindness","c01",53.6357291981846
"Songs I like","Bills","c01",52.8809911949686
"Songs I like","Increíble","c01",52.5706435986159
"Songs I like","Drive (feat. Wes Nelson)","c01",46.974115819209
"Songs I like","Permission to Dance","c01",51.272006097561
"Songs I like","Cold Heart - PNAU Remix","c01",47.7655460199005
"Songs I like","Butter","c01",50.4661544342508
"Songs I like","Lovin' Every Minute","c01",47.8365898617512
"Songs I like","STAY (with Justin Bieber)","c01",50.0250108108108
"Songs I like","Let Them Know","c01",50.4096967455621
"Songs I like","Saturday","c01",49.2486512890095
"Songs I like","this is what falling in love feels like","c01",47.9864960835509
"Songs I like","Shivers","c01",53.0427509481669
"Songs I like","Hold On","c01",48.8004857512953
"Songs I like","Enjoy Life","c01",45.4915485008818
"Songs I like","Never Have I Ever","c01",50.1812526002972
"Songs I like","Footprints","c01",50.0246047058824
"Songs I like","I Don't Wanna Talk (I Just Wanna Dance)","c01",50.0885457063712
"Songs I like","Wave of You","c01",47.7894677608441
"Songs I like","Miss You","c01",53.2301022530329
"Songs I like","She Looks So Perfect","c01",52.0973770053476
"Songs I like","Learning To Fly","c01",50.074395173454
"Songs I like","On Me (feat. Ava Max)","c01",51.9965625
"Songs I like","Dolce Vita","c01",45.3267156614293
"Songs I like","Dromen In Kleur","c01",44.7952734375
"Songs I like","Dopamine (feat. Eyelar)","c01",51.0209095427435
"Songs I like","Sunshine","c01",52.2927518910741
"Songs I like","A Sky Full of Stars","c01",49.0981661054994
"Songs I like","All Of The Time","c01",49.9188251001335
"Songs I like","Comingback - Single Version","c01",49.191779661017
"Songs I like","Ani Kuni - Edit","c01",48.597027696793
"Songs I like","Bedroom Eyes (feat. Studio Killers)","c01",52.2713244444444
"Songs I like","Hard Times","c01",50.3341502525253
"Songs I like","Shake It Off","c01",50.8777023945268
"Songs I like","Title","c01",51.5154408759124
"Songs I like","abcdefu","c01",49.5465996784566
"Songs I like","Remember","c01",53.9143074484945
"Songs I like","GO TO HELL","c01",50.7269429429429
"Songs I like","Leave A Little Love","c01",52.3729043478261
"Songs I like","Everything","c01",50.2177443502825
"Songs I like","HYPER","c01",52.6939908256881
"Songs I like","I Still Haven’t Found What I’m Looking For (with Bono)","c01",44.5779616
"Songs I like","Break Free (with Nick Kroll)","c01",49.6376068111455
"Songs I like","Could Have Been Me","c01",50.673334841629
"Songs I like","I Say A Little Prayer (with Pharrell Williams)","c01",49.3553364269141
"Songs I like","A Sky Full of Stars","c01",46.3720711111111
"Songs I like","Die Young","c01",49.8060089399745
"Songs I like","Tacones Rojos","c01",52.2726344537815
"Songs I like","Queen","c01",46.799315467075
"Songs I like","The Way I Like You","c01",46.4307340267459
"Songs I like","Light Switch","c01",48.8449765258216
"Songs I like","Hallo","c01",49.8824060150376
"Songs I like","Vluchtstrook","c01",48.2556784565916
"Songs I like","Hotelschool","c01",49.7732912621359
"Songs I like","Dancing Feet (feat. DNCE)","c01",50.8645656108597
"Songs I like","When You're Gone","c01",49.5671005665722
"Songs I like","Missing Piece","c01",50.5546222732491
"Songs I like","Never Forget You","c01",51.0787374213837
"Songs I like","As It Was","c01",51.6541259150805
"Songs I like","Weatherman","c01",48.326343495935
"Songs I like","Friends","c01",48.918347826087
"Songs I like","Since U Been Gone","c01",49.0761648351648
"Songs I like","French Girl","c01",44.8094413407821
"Songs I like","Late Night Talking","c01",52.1138773109244
"Songs I like","Bam Bam (feat. Ed Sheeran)","c01",48.1482197558269
"Songs I like","Kijk Ons Nou","c01",49.3176078125
"Songs I like","Hypotheticals","c01",48.7427738927739
"Songs I like","Anyone For You (Tiger Lily)","c01",52.8976133144476
